28/11/2015 05:44:43 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[], args=[[]], debug=[0]!
28/11/2015 05:44:48 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2 3 4], debug=[0]!
28/11/2015 05:44:48 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1', '2', '3', '4']], debug=[0]!
28/11/2015 05:45:03 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:45:03 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[[]], debug=[0]!
28/11/2015 05:45:15 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:45:19 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2], debug=[0]!
28/11/2015 05:45:19 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1', '2']], debug=[0]!
28/11/2015 05:45:35 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:45:35 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[[]], debug=[0]!
28/11/2015 05:45:39 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:45:41 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:45:41 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[[]], debug=[0]!
28/11/2015 05:47:27 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:47:30 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:47:30 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[[]], debug=[0]!
28/11/2015 05:47:35 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1], debug=[0]!
28/11/2015 05:47:35 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1']], debug=[0]!
28/11/2015 05:47:48 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:47:50 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1], debug=[0]!
28/11/2015 05:47:50 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[['1']], debug=[0]!
28/11/2015 05:48:48 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:48:50 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown], debug=[0]!
28/11/2015 05:48:50 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[[]], debug=[0]!
28/11/2015 05:48:53 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1], debug=[0]!
